,Период,Сеть,Категория,Категория 2,Поставщик,Бренд,Наименование,УНИ Наименование,Граммовка,Вкус,"Продажи, шт","Продажи, руб","Продажи, тонн","Себест., руб"
94,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом белых грибов в сливочном соусе 120г,Московский картофель риф. Белые гибы в слив. соусе 120г,120,Грибы Белые и соус сливочный,4208,476038.4481000001,0.5049600000000001,248465.81000000003
95,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом маринованных огурцов 120г,Московский картофель риф. Маринованные огурцы 120г,120,Огурцы маринованные,3762,403895.33980000013,0.45143999999999995,221001.10999999996
96,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом паприки 120г,Московский картофель риф. Паприка 120г,120,Паприка,2587,277263.7620999999,0.31044,153096.30999999997
97,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом сыра пармезан 120г,Московский картофель риф Сыр пармезан 120г,120,Сыр,3686,396279.1898000001,0.44232000000000016,217454.01999999996
98,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом Томатного кетчупа 130г,Московский картофель риф. Томатный кетчуп 120г,130,Кетчуп,1,129.99,0.00013,81.96
99,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,Чипсы картофельные  Lay's рифленые лобстер 70г,Lays риф. Лобстер 70г,70,Лобстер,4990,408290.4854000002,0.34930000000000005,313205.60999999987
100,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,Чипсы картофельные  Lay's рифленые паприка 70г,Lays риф. Паприка 70г,70,Паприка,5603,458222.5804999999,0.39221,351936.4899999999
101,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,Чипсы картофельные Lay's Рифленые Горчица 140г,Lays Горчица 140г,140,Горчица,1,139.99,0.00014,95.5
102,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,Чипсы картофельные Lay's Рифленые Лобстер 140г,Lays риф. Лобстер 140г,140,Лобстер,8273,1184651.0474000005,1.15822,906554.5299999999
103,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,Чипсы картофельные Lay's Рифленые Паприка 140г,Lays риф. Паприка 140г,140,Паприка,8587,1244857.0691,1.20218,941702.79
104,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,Чипсы картофельные Lay's Рифлёные Паприка 225г,Lays риф. Паприка 225г,225,Паприка,5815,1239586.6157999998,1.3083750000000003,917023.2199999999
105,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,Чипсы картофельные Lay's Рифленые Паприка 81г,Lays риф. Паприка 81г,81,Паприка,1,94.99,8.1e-05,60.44
106,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,Чипсы картофельные Lay's Рифленые Сливочный лосось 140г,Lays риф. Лосось в слив. соусе 140г,140,Лосось и соус сливочный,11521,1678076.2607999998,1.61294,1263109.4300000002
107,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays МАХХ,Чипсы картофельные Lay's Max Грибы 110г,Lays МАХХ Грибы в сливочном соусе 110г,110,Грибы и соус сливочный,6137,728162.6003000003,0.6750700000000004,493728.5
108,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays МАХХ,Чипсы картофельные Lay's Max Куриные Крылышки Барбекю 110г,Lays МАХХ Куриные крылышки барбекю 110г,110,Курица,9396,1116076.2926000003,1.0335600000000003,755191.7400000001
109,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays МАХХ,Чипсы картофельные Lay's Max Пицца 110г,Lays МАХХ Пицца 4 сыра 110г,110,Пицца,7033,837978.1035999996,0.7736300000000004,565135.2800000003
110,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,Картофельные чипсы соломкой Pomsticks с морской солью и перцем,Pomsticks Морская соль и перец 100г,100,Соль и перец черный,4,230.0,0.00039999999999999996,220.14
111,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,Картофельные чипсы соломкой Pomsticks со вкусом сыра и лука 100гр,Pomsticks Сыр и лук 100г,100,Сыр и лук,2790,278314.5198999999,0.279,189262.36000000004
112,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,Чипсы картофельные Pomsticks соломкой Паприка 100г,Pomsticks Паприка 100г,100,Паприка,1801,169571.02569999997,0.1801,115888.21
113,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,Чипсы картофельные Pomsticks соломкой Сметана/Зелень 100г,Pomsticks Сметана и зелень 100г,100,Сметана и зелень,3332,313502.98799999995,0.33320000000000005,216312.03
114,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,Чипсы картофельные Pomsticks соломкой Соль 100г,Pomsticks Соль 100г,100,Соль,4184,400003.0553,0.41839999999999994,300959.9299999999
115,2024-09-01,Окей,Чипсы кукурузные,Кукурузная соломка,Фрито Лэй,CHEETOS,Кукурузные снеки Cheetos Кетчуп 50г,CHEETOS Кетчуп 50г,50,Кетчуп,5762,316688.0283999999,0.2881,237908.32
116,2024-09-01,Окей,Чипсы кукурузные,Кукурузная соломка,Фрито Лэй,CHEETOS,Кукурузные снеки Cheetos Кетчуп 85г,CHEETOS Кетчуп 85г,85,Кетчуп,5809,527452.0094,0.493765,369546.5100000002
117,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,"Чипсы кукурузные Delicados Лобстер с кусочками оливок, 150гр",Delicados кук. С кусочками оливок и лобстером 150г,150,Лобстер и оливки,4911,556418.7608000003,0.73665,307772.21000000014
118,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,"Чипсы кукурузные Delicados Сальса с кусочками чили, 150гр",Delicados кук. Пикантная сальса-чили 150г,150,Соус сальса,6713,759536.2699999999,1.0069499999999998,421114.16
119,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,"Чипсы кукурузные Delicados 'Со вкусом соуса Ранч', 150 гр",Delicados кук. Соус ранч 150г,150,Соус Ранч,5281,539058.0729,0.79215,309542.33999999985
120,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,Чипсы кукурузные Nachos барбекю 500г Delicados,Delicados кук. Барбекю 500г,500,Барбекю,3181,701004.3404000003,1.5904999999999991,493046.81999999995
121,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,Чипсы кукурузные Nachos Оливки/Паприка 150г Delicados,Delicados кук. С кусочками оливок и паприкой 150г,150,Паприка и оливки,5659,574404.2838000001,0.8488499999999998,361821.1299999999
122,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,Чипсы кукурузные Nachos Оригинальные 150г Delicados,Delicados кук. Оригинальные 150г,150,Оригинальные,3317,335110.38250000007,0.49755,177775.57999999996
123,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,Чипсы кукурузные Nachos оригинальные 500г Delicados,Delicados кук. Оригинальные 500г,500,Оригинальные,1667,363029.4721999999,0.8334999999999997,240753.16
124,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,Чипсы кукурузные Nachos Сыр 150г Delicados,Delicados кук. Сыр 150г,150,Сыр,8163,758495.5439999999,1.22445,459381.80000000034
125,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,Начос MISSION сыр чеддер 150г,MISSION кук. Сыр чеддер 150г,150,Сыр,1391,129208.90209999996,0.20865000000000006,78682.25
126,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,Чипсы кукурузные MISSION со вкусом лисички со сметаной 150 гр,MISSION кук. Лисички со сметаной 150г,150,Сметана и Грибы Лисички,1493,161548.18720000001,0.22395000000000007,91247.10000000003
127,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,Чипсы кукурузные MISSION со вкусом томатов 150 гр,MISSION кук. Томат 150г,150,Томат,1662,179031.15660000007,0.24930000000000005,101252.52
128,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,Чипсы кукурузные Nachos Камчатский краб MISSION  90 гр.,MISSION кук. Камчатский краб 90г,90,Краб,801,57138.650499999996,0.07209,28938.069999999996
129,2024-09-01,Окей,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,Чипсы кукурузные Nachos сметана с луком MISSION  90 гр.,MISSION кук.Сметана и лук 90г,90,Сметана и лук,822,60318.3227,0.07397999999999998,29588.499999999993
130,2024-09-01,Окей,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",СырBall,Кукурузные шарики со вкусом кетчупа СырBall 140г,СЫРBALL кук. Кетчуп 140г,140,Кетчуп,783,88246.9481,0.10961999999999993,51244.0
131,2024-09-01,Окей,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",СырBall,Кукурузные шарики со вкусом краба СырBall 140г,СЫРBALL кук. Краб 140г,140,Краб,723,84503.5038,0.10121999999999996,48003.429999999986
132,2024-09-01,Окей,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,Кукурузные снеки Cheetos Ветчина Сыр 50г,CHEETOS кук. Ветчина и сыр 50г,50,Сыр и ветчина,5372,291493.93730000005,0.2686,221577.80000000002
133,2024-09-01,Окей,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,Кукурузные снеки Cheetos Краб 85г,CHEETOS кук. Краб 85г,85,Краб,2337,211531.8188,0.19864500000000004,148754.23000000007
134,2024-09-01,Окей,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,Кукурузные снеки Cheetos Сыр 50г,CHEETOS кук. Сыр 50г,50,Сыр,8966,489939.29040000006,0.4483000000000001,369628.0800000001
135,2024-09-01,Окей,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,Кукурузные снэки Cheetos Сыр 85г,CHEETOS кук. Сыр  85г,85,Сыр,11707,1041673.5251000002,0.9950949999999998,744073.4699999999
136,2024-09-01,Окей,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,Снеки CHEETOS Кукурузные Кола 45г,CHEETOS Кола 45г,45,Кола,2165,122434.51000000001,0.09742499999999997,88876.54999999994
137,2024-09-01,Окей,Чипсы кукурузные,Кукурузные фигурные,Юникорн ООО,HOLYCORN,Кукурузные снеки со вкусом сметана и зелень 50 г,HOLYCORN Сметана и зелень 50г,50,Сметана и зелень,842,59169.82550000001,0.04210000000000001,36463.34000000001
138,2024-09-01,Окей,Чипсы кукурузные,Кукурузные фигурные,Юникорн ООО,HOLYCORN,Кукурузные снеки со вкусом 'сыр' 50 г.,HOLYCORN Сыр 50г,50,Сыр,1216,85622.78549999998,0.0608,49688.43
139,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,Чипсы картофельные Mega Chips со вкусом бекона 100г,MEGA CHIPS Бекон 100г,100,Бекон,3685,302453.16769999993,0.3685,167405.30999999988
140,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,Чипсы картофельные Mega Chips со вкусом грибов со сметаной 100г,MEGA CHIPS Грибы со сметаной 100г,100,Сметана и грибы,5418,441354.12329999986,0.5418000000000001,246092.42999999993
141,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,Чипсы картофельные Mega Chips со вкусом норвежского лобстера 100г,MEGA CHIPS Норвежский лобстер 100г,100,Лобстер,4540,367472.8511000001,0.4540000000000001,206241.4899999999
142,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,Чипсы картофельные Mega Chips со вкусом сметаны и лука 100г,MEGA CHIPS Сметана и лук 100г,100,Сметана и лук,7483,611600.0363999997,0.7482999999999997,339960.92999999993
143,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,Чипсы картофельные Mega Chips со вкусом сметаны и сыра 100г,MEGA CHIPS Сметана и сыр 100г,100,Сметана и сыр,5875,485195.55329999997,0.5874999999999999,266899.36999999994
144,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,ИП Ланина А.В.,О'кей,Чипсы картофельные со вкусом Барбекю ОКЕЙ 100г пластины,О'кей пласт. Барбекю 100г,100,Барбекю,4211,208805.47149999996,0.42110000000000003,114845.83
145,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,ИП Ланина А.В.,О'кей,Чипсы картофельные со вкусом Грибов со Сметаной оКЕЙ 100г пластины,О'кей пласт. Грибы со сметаной 100г,100,Сметана и Грибами,4777,235696.81020000007,0.4777000000000002,140730.41999999993
146,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,ИП Ланина А.В.,О'кей,Чипсы картофельные со вкусом Сметаны с луком ОКЕЙ 100г пластины,О'кей пласт. Сметана и лук 100г,100,Сметана и лук,7427,366898.69929999986,0.7427000000000001,218799.4199999999
147,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,ИП Ланина А.В.,О'кей,Чипсы картофельные со вкусом Сыра и Сметаны ОКЕЙ 100г пластины,О'кей пласт. Сыр и сметана 100г,100,Сметана и сыр,5720,282582.274,0.5719999999999997,168511.19999999995
148,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,ИП Ланина А.В.,О'кей,Чипсы картофельные со вкусом Томата с Зеленью ОКЕЙ 100г пластины,О'кей пласт. Томат с зеленью 100г,100,Томат с зеленью,5052,250407.95739999993,0.5052,148831.92
149,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,ИП Ланина А.В.,О'кей,Чипсы картофельные со вкусом Холодца с Хреном ОКЕЙ 100г пластины,О'кей пласт. Холодец с хреном 100г,100,Холодец с хреном,3933,194758.22570000007,0.39330000000000026,115866.17999999996
150,2024-09-01,Окей,Чипсы прессованные,Прессованные пластинки,ИП Ланина А.В.,О'кей,Чипсы картофельные со вкусом Чили ОКЕЙ 100г пластины,О'кей пласт. Чили 100г,100,Чили,4927,244461.79669999998,0.4927000000000001,145149.41999999998
151,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,"Принглс Картофельные чипсы Cheese and Onions Сыр и Лук 165г, Бельгия",PRINGLES Сыр и лук 165г,165,Сыр и лук,3231,1061448.716,0.5331150000000001,780286.5
152,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,"Принглс Картофельные чипсы Original 165г, Бельгия",PRINGLES Оригинальные 165г,165,Оригинальные,2413,793535.2955000001,0.398145,582738.97
153,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,Принглс Картофельные чипсы Salt & Vinegar Соль и уксус 165г,PRINGLES Соль и уксус 165г,165,Соль и уксус,577,189300.15400000004,0.095205,139345.5
154,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,Чипсы Pringles Паприка 185 гр,PRINGLES Паприка 185г,185,Паприка,4,1262.18,0.00074,869.77
155,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,Чипсы картофельные Pringles Паприка 165г,PRINGLES Паприка 165г,165,Паприка,4050,1335969.7030000002,0.66825,978075.0
156,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,Чипсы картофельные Pringles Сметана и Лук 165г,PRINGLES Сметана и лук 165г,165,Сметана и лук,1,172.0,0.000165,241.5
157,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,Фрито Лэй,Lays STAX,Чипсы картофельные Lay's Stax Нежная сметана/лук 140г,Lays STAX Нежная сметана и лук 140г,140,Сметана и лук,5746,1221489.7524,0.80444,923459.7700000001
158,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,Фрито Лэй,Lays STAX,Чипсы картофельные Lay's Stax Пикантная паприка 140г,Lays STAX Пикантная паприка 140г,140,Паприка,1788,381102.35,0.25032,284625.28000000014
159,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,Фрито Лэй,Lays STAX,Чипсы картофельные Lay's Stax Ребрышки барбекю 140г,Lays STAX Ароматные ребрышки барбекю 140г,140,Ребрышки барбекю,2231,477746.927,0.31234,354922.34999999986
160,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,Келлогг Рус ООО,CHEESL'S,Чипсы пшенично-картофельные запечённые с сыром 'CHEESL`S' со вкусом двойного сыра 100г,CHEESL'S пш. Двойной сыр 100г,100,Сыр,1383,141517.43110000005,0.13829999999999995,87913.90999999996
161,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,Келлогг Рус ООО,CHEESL'S,Чипсы пшенично-картофельные запечённые с сыром 'CHEESL`S' со вкусом двойного сыра 50 г,CHEESL'S пш. Двойной сыр 50г,50,Сыр,1283,78337.9955,0.06415000000000001,51102.94000000001
162,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,Келлогг Рус ООО,CHEESL'S,Чипсы пшенично-картофельные запечённые с сыром 'CHEESL`S' со вкусом сметаны и лука 100г,CHEESL'S пш. Сметана и лук 100г,100,Сметана и лук,963,98556.26100000007,0.09630000000000002,61525.26999999999
163,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,Келлогг Рус ООО,CHEESL'S,Чипсы пшенично-картофельные запечённые с сыром 'CHEESL`S' со вкусом сметаны и лука 50г,CHEESL'S пш. Сметана и лук 50г,50,Сметана и лук,1125,69100.75219999997,0.056249999999999994,44833.65000000001
164,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,"Чипсы картофельные РУССКАЯ КАРТОШКА со вкусом креветки темпура с васаби,105г",Русская картошка Креветки теемпура с васаби 105г,105,Креветки и васаби,1317,148864.67520000003,0.13828500000000002,110667.51
165,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,"Чипсы картофельные РУССКАЯ КАРТОШКА со вкусом Куриные крылышки, Мексиканская серия 105г",Русская картошка Куриные крылышки 105г,105,Курица,1206,149146.9155,0.12663,73516.19999999998
166,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,"Чипсы картофельные РУССКАЯ КАРТОШКА со вкусом сладкого чили,105г",Русская Картошка Сладкий чили 105г,105,Чили,899,125100.00440000003,0.09439500000000003,75542.96999999997
167,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,"Чипсы картофельные РУССКАЯ КАРТОШКА со вкусом Сыр Начо, Мексиканская серия 105г",Русская картошка Сыр начо 105г,105,Сыр начо,1658,205009.70909999998,0.17409,101077.70000000001
168,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,Чипсы РУССКАЯ КАРТОШКА 190г со вкусом жареной курицы,Русская картошка Жареная курица 190г,190,Курица,1923,351812.8643999999,0.36537,202722.69
169,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,Чипсы РУССКАЯ КАРТОШКА 190г со вкусом зеленого лука и сметаны,Русская картошка Сметана и лук 190г,190,Сметана и лук,2579,478016.2695000001,0.49001,273118.09
170,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,Чипсы РУССКАЯ КАРТОШКА 190г со вкусом краба,Русская картошка Камчатскиий краб 190г,190,Краб,1662,302683.9133999999,0.31578000000000006,175020.64000000007
171,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,Чипсы РУССКАЯ КАРТОШКА 75г со вкусом мурманских креветок,Русская картошка Креветки 75г,75,Креветки,1637,159894.07999999996,0.122775,70134.09
172,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,Чипсы РУССКАЯ КАРТОШКА 75г со вкусом сливочного сыра,Русская картошка Сливочный сыр 75г,75,Сыр сливочный ,2005,195816.2376,0.150375,86027.36000000002
173,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,Чипсы РУССКАЯ КАРТОШКА 75г со вкусом сливочного сыра,Русская картошка Сливочный сыр 75г,75,Сыр сливочный ,33,3299.67,0.002475,1418.42
174,2024-09-01,Окей,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,Чипсы РУССКАЯ КАРТОШКА 75г со вкусом фермерской сметаны и укропа,Русская картошка Фермерская сметана и укроп 75г,75,Сметана и укроп,2460,240534.8244,0.18449999999999994,108572.19000000005
175,2024-09-01,Окей,Чипсы прессованные,Приссованные рифленые,"""МАТЯШ""ООО",Лайк овал,Чипсы LAY'S Из Печи Злак Вяленый Томат и Базилик 81г,Лейз из печи Томат и базилик 81г,81,Томат и базилик,7871,858757.6402,0.6375510000000001,585190.77
176,2024-09-01,Окей,Чипсы прессованные,Приссованные рифленые,"""МАТЯШ""ООО",Лайк овал,Чипсы картофельные  Lay's из печи со вкусом Хамона 81г,Лейз из печи Хамон 81г,81,Хамон,45,4156.87,0.003645,3424.1000000000004
177,2024-09-01,Окей,Чипсы прессованные,Приссованные рифленые,"""МАТЯШ""ООО",Лайк овал,Чипсы картофельные Lay's Из Печи Лисички/сметана 85г,Лейз из печи Лисички в сметане 85г,85,Сметана и Грибы Лисички,8990,1017351.6823999999,0.76415,669663.5099999999
178,2024-09-01,Окей,Чипсы прессованные,Приссованные рифленые,"""МАТЯШ""ООО",Лайк овал,Чипсы картофельные Lay's Из Печи Нежный сыр/зелень 85г,Лейз из печи Нежный сыр и зелень 85г,85,Сыр и зелень,5924,676819.5372999999,0.50354,439468.83000000013
179,2024-09-01,Окей,Чипсы прессованные,Приссованные рифленые,"""МАТЯШ""ООО",Лайк овал,Чипсы картофельные Lay's Из Печи Сметана/зелень 85г,Лейз из печи Сметана и зелень 85г,85,Сметана и зелень,9,873.41,0.0007650000000000001,658.54
180,2024-09-01,Окей,Чипсы прочие,Кукурузно-рисовые,Евро фудс ООО,Happy Crisp,Чипсы кукурузно-рисовые HAPPY CRISP Cметана и Лук 50г,Happy Crisp Альпийский сыр 50г,50,Сметана и лук,1524,78844.55009999998,0.0762,38821.97999999998
181,2024-09-01,Окей,Чипсы прочие,Кукурузно-рисовые,Евро фудс ООО,Happy Crisp,Чипсы кукурузно-рисовые HAPPY CRISP Альпийский сыр 50г,Happy Crisp Альпийский сыр 50г,50,Сыр,1369,71581.09360000001,0.06845000000000002,35156.75000000001
182,2024-09-01,Окей,Чипсы прочие,Кукурузно-рисовые,Евро фудс ООО,Happy Crisp,Чипсы кукурузно-рисовые HAPPY CRISP Пряный томат 50г,Happy Crisp Альпийский сыр 50г,50,Томат,1504,78998.4122,0.07520000000000003,38292.329999999994
183,2024-09-01,Окей,Чипсы прочие,Пшеничные,"""АВАНГАРД ИННОВАЦИИ""ООО",Краш Лаваш,Чипсы из лаваша Краш Лаваш со вкусом Паприка 80г,Краш Лаваш Паприка 80г,80,Паприка,2,142.98,0.00016,80.28
184,2024-09-01,Окей,Чипсы прочие,Пшеничные,"""АВАНГАРД ИННОВАЦИИ""ООО",Краш Лаваш,Чипсы из лаваша Краш Лаваш со вкусом Сметана и лук 80г,Краш Лаваш Сметана и лук 80г,80,Сметана и лук,38,894.39,0.00304,1528.2
185,2024-09-01,Окей,Чипсы прочие,Пшеничные,"""АВАНГАРД ИННОВАЦИИ""ООО",Краш Лаваш,Чипсы из лаваша Краш Лаваш со вкусом Сметана с укропом 80 г,Краш Лаваш Сметана и укроп 80г,80,Сметана и укроп,1,69.99,8e-05,39.74
186,2024-09-01,Окей,Чипсы прочие,Пшеничные,ИП Азаров А. В.,AZAR Лавашики,Лавашики ТМ Azar со вкусом зелёного лука 100г,AZAR Лавашики Зеленый лук 100г,100,Лук,1007,89675.12999999999,0.10070000000000004,47063.68
187,2024-09-01,Окей,Чипсы прочие,Пшеничные,ИП Азаров А. В.,AZAR Лавашики,Лавашики ТМ Azar со вкусом колбасок с чесноком 100г,AZAR Лавашики Колбаски с чесноком 100г,100,Колбаски с чесноком,782,69624.93330000002,0.0782,36761.479999999996
